Categoria,Rating,Promedio descargas
Board,4.7,625677.0
Board,4.8,140690.0
Board,4.9,6182.0
Board,5.0,986.0
Card,0.0,3379.0
Card,1.0,267.0
Card,1.2,4584.0
Card,1.4,13077.0
Card,1.6,1833.0
Card,1.7,1022.0
Card,1.8,2330.0
Card,1.9,12367.0
Card,2.0,7555.0
Card,2.1,10347.0
Card,2.2,24038.0
Card,2.3,60500.0
Card,2.4,112217.0
Card,2.5,34272.0
Card,2.6,232591.0
Card,2.7,31974.0
Card,2.8,78579.0
Card,2.9,55594.0
Card,3.0,72367.0
Card,3.1,65710.0
Card,3.2,73892.0
Card,3.3,96323.0
Card,3.4,65758.0
Card,3.5,123350.0
Card,3.6,211771.0
Card,3.7,278950.0
Card,3.8,372519.0
Card,3.9,208839.0
Card,4.0,357056.0
Card,4.1,797902.0
Card,4.2,842201.0
Card,4.3,889006.0
Card,4.4,754820.0
Card,4.5,1110072.0
Card,4.6,1204639.0
Card,4.7,1017494.0
Card,4.8,196403.0
Card,4.9,11095.0
Card,5.0,10316.0
Carreras,0.0,4614.0
Carreras,1.0,166150.0
Carreras,1.1,34123.0
Carreras,1.2,11510.0
Carreras,1.4,1133.0
Carreras,1.5,10009.0
Carreras,1.6,1050.0
Carreras,1.7,829.0
Carreras,1.8,10762.0
Carreras,1.9,2121.0
Carreras,2.0,16988.0
Carreras,2.1,6169.0
Carreras,2.2,43106.0
Carreras,2.3,71006.0
Carreras,2.4,23374.0
Carreras,2.5,67095.0
Carreras,2.6,60380.0
Carreras,2.7,138011.0
Carreras,2.8,81060.0
Carreras,2.9,119908.0
Carreras,3.0,72773.0
Carreras,3.1,413146.0
Carreras,3.2,99073.0
Carreras,3.3,202903.0
Carreras,3.4,360971.0
Carreras,3.5,478320.0
Carreras,3.6,421680.0
Carreras,3.7,703933.0
Carreras,3.8,889156.0
Carreras,3.9,1764310.0
Carreras,4.0,1858535.0
Carreras,4.1,3419845.0
Carreras,4.2,6172619.0
Carreras,4.3,8499454.0
Carreras,4.4,5572436.0
Carreras,4.5,2243121.0
Carreras,4.6,2285554.0
Carreras,4.7,94302.0
Carreras,4.8,37472.0
Carreras,4.9,23839.0
Carreras,5.0,5101.0
Casa y Hogar,0.0,548.0
Casa y Hogar,1.0,1955.0
Casa y Hogar,1.1,10134.0
Casa y Hogar,1.2,11445.0
Casa y Hogar,1.3,5924.0
Casa y Hogar,1.4,7917.0
Casa y Hogar,1.5,34091.0
Casa y Hogar,1.6,14823.0
Casa y Hogar,1.7,29704.0
Casa y Hogar,1.8,27681.0
Casa y Hogar,1.9,15346.0
Casa y Hogar,2.0,37089.0
Casa y Hogar,2.1,14114.0
Casa y Hogar,2.2,22435.0
Casa y Hogar,2.3,23046.0
Casa y Hogar,2.4,57000.0
Casa y Hogar,2.5,69385.0
Casa y Hogar,2.6,21744.0
Casa y Hogar,2.7,204668.0
Casa y Hogar,2.8,36721.0
Casa y Hogar,2.9,52300.0
Casa y Hogar,3.0,37057.0
Casa y Hogar,3.1,18722.0
Casa y Hogar,3.2,61971.0
Casa y Hogar,3.3,32571.0
Casa y Hogar,3.4,112623.0
Casa y Hogar,3.5,248126.0
Casa y Hogar,3.6,293612.0
Casa y Hogar,3.7,65617.0
Casa y Hogar,3.8,111194.0
Casa y Hogar,3.9,288244.0
Casa y Hogar,4.0,510293.0
Casa y Hogar,4.1,261501.0
Casa y Hogar,4.2,122371.0
Casa y Hogar,4.3,184707.0
Casa y Hogar,4.4,373433.0
Casa y Hogar,4.5,416965.0
Casa y Hogar,4.6,359918.0
Casa y Hogar,4.7,255562.0
Casa y Hogar,4.8,20305.0
Casa y Hogar,4.9,2432.0
Casa y Hogar,5.0,647.0
Casino,0.0,3223.0
Casino,1.2,17511.0
Casino,1.5,801853.0
Casino,1.6,2153.0
Casino,1.8,87640.0
Casino,1.9,1298.0
Casino,2.0,17315.0
Casino,2.1,99074.0
Casino,2.2,148711.0
Casino,2.3,10428.0
Casino,2.4,317170.0
Casino,2.5,4359.0
Casino,2.6,26649.0
Casino,2.7,32045.0
Casino,2.8,219924.0
Casino,2.9,67367.0
Casino,3.0,22315.0
Casino,3.1,42664.0
Casino,3.2,100403.0
Casino,3.3,46587.0
Casino,3.4,49944.0
