Año de lanzamiento,Categoria,ID
2013,Comunicacion,676
2013,Deportes,1525
2013,Diseño y Arte,28
2013,Editores de Video,367
2013,Educacion,4210
2013,Educacionales,341
2013,Entretenimiento,1762
2013,Estilo de vida,2305
2013,Estrategia,209
2013,Eventos,27
2013,Finanzas,1875
2013,Fotografia,424
2013,Herramientas,3616
2013,Juegos de Rol,121
2013,Librerias y Demo,109
2013,Libros y Referencias,2786
2013,Mapas y navegacion,708
2013,Medico,843
2013,Musica,26
2013,Negocios,2262
2013,Noticias  y  Revistas,2060
2013,Paternidad,42
2013,Personalization,2016
2013,Productividad,1626
2013,Puzzle,1209
2013,Salud y Fisico,1146
2013,Shopping,532
2013,Simulation,146
2013,Social,494
2013,Trivia,132
2013,Viaje y Local,2707
2013,Word,175
2014,Accion,981
2014,Arcade,1805
2014,Audio y Musica,3476
2014,Automoviles y vehiculos,142
2014,Aventura,537
2014,Belleza,27
2014,Board,447
2014,Card,447
2014,Carreras,569
2014,Casa y Hogar,63
2014,Casino,317
2014,Casual,2072
2014,Citas,40
2014,Clima,427
2014,Comics,92
2014,Comida y Bebidas,603
2014,Comunicacion,1264
2014,Deportes,2291
2014,Diseño y Arte,57
2014,Editores de Video,731
2014,Educacion,6927
2014,Educacionales,988
2014,Entretenimiento,3180
2014,Estilo de vida,4342
2014,Estrategia,401
2014,Eventos,58
2014,Finanzas,2742
2014,Fotografia,924
2014,Herramientas,5142
2014,Juegos de Rol,295
2014,Librerias y Demo,182
2014,Libros y Referencias,4214
2014,Mapas y navegacion,1299
2014,Medico,1368
2014,Musica,99
2014,Negocios,3977
2014,Noticias  y  Revistas,2256
2014,Paternidad,58
2014,Personalization,3667
2014,Productividad,2784
2014,Puzzle,2079
2014,Salud y Fisico,1985
2014,Shopping,991
2014,Simulation,751
2014,Social,922
2014,Trivia,395
2014,Viaje y Local,2998
2014,Word,403
2015,Accion,1532
2015,Arcade,3106
2015,Audio y Musica,6816
2015,Automoviles y vehiculos,205
2015,Aventura,1031
2015,Belleza,53
2015,Board,703
2015,Card,594
2015,Carreras,905
2015,Casa y Hogar,126
2015,Casino,480
2015,Casual,2890
2015,Citas,72
2015,Clima,450
2015,Comics,125
2015,Comida y Bebidas,1057
2015,Comunicacion,2043
2015,Deportes,3049
2015,Diseño y Arte,84
2015,Editores de Video,940
2015,Educacion,11029
2015,Educacionales,1649
2015,Entretenimiento,5811
2015,Estilo de vida,8587
2015,Estrategia,524
2015,Eventos,63
2015,Finanzas,3444
2015,Fotografia,1965
2015,Herramientas,7292
2015,Juegos de Rol,428
2015,Librerias y Demo,259
2015,Libros y Referencias,6823
2015,Mapas y navegacion,1884
2015,Medico,1874
2015,Musica,147
2015,Negocios,6514
2015,Noticias  y  Revistas,3042
2015,Paternidad,94
2015,Personalization,5514
2015,Productividad,4073
2015,Puzzle,3281
2015,Salud y Fisico,3938
2015,Shopping,2424
2015,Simulation,1459
2015,Social,1746
2015,Trivia,546
2015,Viaje y Local,4267
2015,Word,494
2016,Accion,2087
2016,Arcade,3740
2016,Audio y Musica,8958
2016,Automoviles y vehiculos,841
2016,Aventura,1809
2016,Belleza,287
2016,Board,853
2016,Card,758
2016,Carreras,899
2016,Casa y Hogar,702
2016,Casino,590
2016,Casual,3086
2016,Citas,136
2016,Clima,523
2016,Comics,154
2016,Comida y Bebidas,3230
2016,Comunicacion,2929
2016,Deportes,3945
2016,Diseño y Arte,517
2016,Editores de Video,1057
2016,Educacion,17421
2016,Educacionales,1977
2016,Entretenimiento,7955
2016,Estilo de vida,13164
2016,Estrategia,646
2016,Eventos,350
2016,Finanzas,4947
2016,Fotografia,3640
2016,Herramientas,9713
2016,Juegos de Rol,587
2016,Librerias y Demo,418
2016,Libros y Referencias,10593
2016,Mapas y navegacion,2362
2016,Medico,2639
2016,Musica,218
2016,Negocios,10781
2016,Noticias  y  Revistas,3716
2016,Paternidad,202
2016,Personalization,6184
2016,Productividad,5880
2016,Puzzle,4103
2016,Salud y Fisico,5939
2016,Shopping,4452
2016,Simulation,1971
2016,Social,2777
2016,Trivia,750
2016,Viaje y Local,5992
2016,Word,634
2017,Accion,2965
2017,Arcade,5271
2017,Audio y Musica,14810
2017,Automoviles y vehiculos,2241
2017,Aventura,2679
2017,Belleza,1910
2017,Board,1178
2017,Card,875
2017,Carreras,1207
2017,Casa y Hogar,1896
2017,Casino,634
2017,Casual,4816
2017,Citas,417
2017,Clima,643
2017,Comics,232
2017,Comida y Bebidas,8984
2017,Comunicacion,4984
2017,Deportes,5230
2017,Diseño y Arte,2176
2017,Editores de Video,920
2017,Educacion,30077
2017,Educacionales,2764
2017,Entretenimiento,14643
2017,Estilo de vida,16299
2017,Estrategia,903
2017,Eventos,1526
2017,Finanzas,7556
2017,Fotografia,5124
2017,Herramientas,14604
2017,Juegos de Rol,903
2017,Librerias y Demo,572
2017,Libros y Referencias,13802
2017,Mapas y navegacion,2925
2017,Medico,3652
2017,Musica,312
2017,Negocios,16708
2017,Noticias  y  Revistas,5198
2017,Paternidad,497
2017,Personalization,9680
2017,Productividad,8318
2017,Puzzle,5411
2017,Salud y Fisico,9745
2017,Shopping,5900
2017,Simulation,3029
2017,Social,4570
2017,Trivia,1235
2017,Viaje y Local,8740
2017,Word,924
2018,Accion,3492
2018,Arcade,6982
2018,Audio y Musica,20463
2018,Automoviles y vehiculos,3253
2018,Aventura,3051
2018,Belleza,2147
2018,Board,1320
2018,Card,988
2018,Carreras,1302
2018,Casa y Hogar,2684
2018,Casino,549
2018,Casual,5601
2018,Citas,622
2018,Clima,810
2018,Comics,335
2018,Comida y Bebidas,11882
2018,Comunicacion,6875
2018,Deportes,6644
2018,Diseño y Arte,3729
2018,Editores de Video,1343
2018,Educacion,38322
2018,Educacionales,3191
2018,Entretenimiento,19136
2018,Estilo de vida,16754
2018,Estrategia,974
2018,Eventos,2478
2018,Finanzas,9593
2018,Fotografia,5547
2018,Herramientas,19381
2018,Juegos de Rol,1176
2018,Librerias y Demo,771
2018,Libros y Referencias,18920
2018,Mapas y navegacion,3729
2018,Medico,4736
2018,Musica,374
2018,Negocios,23515
2018,Noticias  y  Revistas,6031
2018,Paternidad,638
2018,Personalization,13060
2018,Productividad,11490
2018,Puzzle,6922
2018,Salud y Fisico,12242
2018,Shopping,9462
2018,Simulation,3029
2018,Social,5773
2018,Trivia,1616
2018,Viaje y Local,10443
2018,Word,1191
2019,Accion,5263
2019,Arcade,10327
2019,Audio y Musica,43049
2019,Automoviles y vehiculos,4865
2019,Aventura,4571
2019,Belleza,2916
2019,Board,1864
2019,Card,1244
2019,Carreras,1692
2019,Casa y Hogar,3595
2019,Casino,709
2019,Casual,9304
2019,Citas,1454
2019,Clima,1201
2019,Comics,948
2019,Comida y Bebidas,15084
2019,Comunicacion,11476
2019,Deportes,8506
2019,Diseño y Arte,5545
2019,Editores de Video,2287
2019,Educacion,48894
2019,Educacionales,3659
2019,Entretenimiento,29463
2019,Estilo de vida,21234
2019,Estrategia,1378
2019,Eventos,4538
2019,Finanzas,11835
2019,Fotografia,7552
2019,Herramientas,28874
2019,Juegos de Rol,1849
2019,Librerias y Demo,1030
2019,Libros y Referencias,24369
2019,Mapas y navegacion,6104
2019,Medico,6251
2019,Musica,852
2019,Negocios,32770
2019,Noticias  y  Revistas,7438
2019,Paternidad,897
2019,Personalization,17768
2019,Productividad,16635
2019,Puzzle,8463
2019,Salud y Fisico,16526
2019,Shopping,15059
2019,Simulation,3877
2019,Social,9597
2019,Trivia,2268
2019,Viaje y Local,13981
2019,Word,1604
2020,Accion,6843
2020,Arcade,14459
2020,Audio y Musica,41998
2020,Automoviles y vehiculos,4224
2020,Aventura,6192
2020,Belleza,3037
2020,Board,2635
2020,Card,1594
2020,Carreras,2196
2020,Casa y Hogar,3619
2020,Casino,977
2020,Casual,13379
2020,Citas,2327
2020,Clima,1273
2020,Comics,498
2020,Comida y Bebidas,22772
2020,Comunicacion,11553
2020,Deportes,9356
2020,Diseño y Arte,4501
2020,Editores de Video,3918
2020,Educacion,58964
2020,Educacionales,4593
2020,Entretenimiento,35715
2020,Estilo de vida,23804
2020,Estrategia,2066
2020,Eventos,2769
2020,Finanzas,13242
2020,Fotografia,7296
2020,Herramientas,33103
2020,Juegos de Rol,2449
2020,Librerias y Demo,948
2020,Libros y Referencias,23179
2020,Mapas y navegacion,4258
2020,Medico,6219
2020,Musica,1316
2020,Negocios,30506
2020,Noticias  y  Revistas,7964
2020,Paternidad,865
2020,Personalization,19779
2020,Productividad,16783
2020,Puzzle,12041
2020,Salud y Fisico,21153
2020,Shopping,24450
2020,Simulation,5252
2020,Social,12615
2020,Trivia,3224
2020,Viaje y Local,10700
2020,Word,2278
2021,Accion,3084
2021,Arcade,5261
2021,Audio y Musica,10051
2021,Automoviles y vehiculos,983
2021,Aventura,2469
2021,Belleza,1083
2021,Board,858
2021,Card,520
2021,Carreras,1031
2021,Casa y Hogar,861
2021,Casino,410
2021,Casual,5811
2021,Citas,1212
2021,Clima,783
2021,Comics,237
2021,Comida y Bebidas,6925
2021,Comunicacion,3302
2021,Deportes,3500
2021,Diseño y Arte,1655
2021,Editores de Video,1689
2021,Educacion,16905
2021,Educacionales,1346
2021,Entretenimiento,15989
2021,Estilo de vida,6598
2021,Estrategia,832
2021,Eventos,554
2021,Finanzas,4473
2021,Fotografia,2270
2021,Herramientas,12063
2021,Juegos de Rol,1236
2021,Librerias y Demo,334
2021,Libros y Referencias,7677
2021,Mapas y navegacion,824
2021,Medico,1695
2021,Musica,721
2021,Negocios,7575
2021,Noticias  y  Revistas,1559
2021,Paternidad,246
2021,Personalization,9133
2021,Productividad,5503
2021,Puzzle,4905
2021,Salud y Fisico,6959
2021,Shopping,7597
2021,Simulation,2851
2021,Social,4136
2021,Trivia,1275
2021,Viaje y Local,2974
2021,Word,553
